date,value
2024-10-28,4.4506466689987563e-10
2024-10-30,4.4808953280472634e-10
2024-10-31,4.409900691853234e-10
2024-11-01,4.313106796116505e-10
2024-11-04,4.2057768886529127e-10
2024-11-05,4.183786218143204e-10
2024-11-06,4.3020872838288836e-10
2024-11-07,4.3427668006674755e-10
2024-11-08,4.458640681887136e-10
2024-11-11,4.503300876061893e-10
2024-11-12,4.479077859526699e-10
2024-11-13,4.5147086430521845e-10
2024-11-14,4.5730098983616507e-10
2024-11-15,4.558058062803398e-10
2024-11-18,4.5608739760315533e-10
2024-11-19,4.481990480885922e-10
2024-11-20,4.384368837226942e-10
2024-11-21,4.5474756333434467e-10
2024-11-22,4.6358739760315535e-10
2024-11-25,4.689320388349514e-10
2024-11-26,4.677718256978156e-10
2024-11-27,4.679514468294903e-10
2024-11-28,4.67966000455097e-10
2024-11-29,4.685436893203883e-10
2024-12-02,4.610047433035714e-10
2024-12-03,4.679619140625e-10
2024-12-04,4.707666480654762e-10
2024-12-05,4.731428571428572e-10
2024-12-06,4.80047619047619e-10
2024-12-09,4.884476376488096e-10
2024-12-10,4.809047619047619e-10
2024-12-11,4.789761904761904e-10
2024-12-12,4.789809337797619e-10
2024-12-13,4.821666666666667e-10
2024-12-16,4.760809616815477e-10
2024-12-17,4.767285621279762e-10
2024-12-18,4.721809430803572e-10
2024-12-19,4.650047433035714e-10
2024-12-20,4.630714285714286e-10
2024-12-23,4.5840950520833334e-10
2024-12-24,4.6060951450892855e-10
2024-12-26,4.737619047619048e-10
2024-12-27,4.774047619047619e-10
2024-12-30,4.709381045386904e-10
2024-12-31,4.68123790922619e-10
2025-01-02,4.6331626998546513e-10
2025-01-03,4.686139625726745e-10
2025-01-06,4.69093023255814e-10
2025-01-07,4.638139534883721e-10
2025-01-08,4.6003720021802323e-10
2025-01-09,4.6514884629360467e-10
2025-01-10,4.6095812136627906e-10
2025-01-13,4.527069858284884e-10
2025-01-14,4.5190234375e-10
2025-01-15,4.530093114098837e-10
2025-01-16,4.5891628815406976e-10
2025-01-17,4.640883902616279e-10
2025-01-20,4.664790606831395e-10
2025-01-21,4.6509765625e-10
2025-01-22,4.700186228197675e-10
2025-01-23,4.70362781613372e-10
2025-01-24,4.69995367005814e-10
2025-01-27,4.6501862281976743e-10
2025-01-28,4.707813862645349e-10
2025-01-29,4.686976744186047e-10
2025-01-30,4.689348655523256e-10
2025-01-31,4.653209484011628e-10
2025-02-03,4.442909268465909e-10
2025-02-04,4.457772549715909e-10
2025-02-05,4.4180908203125e-10
2025-02-06,4.473727361505682e-10
2025-02-07,4.5235000887784093e-10
2025-02-10,4.475409268465909e-10
2025-02-11,4.492181729403409e-10
2025-02-12,4.4452725497159093e-10
2025-02-13,4.506681906960227e-10
2025-02-14,4.4898180042613635e-10
2025-02-17,4.471136363636364e-10
2025-02-18,4.507681995738636e-10
2025-02-19,4.438045543323864e-10
2025-02-20,4.4579545454545455e-10
2025-02-21,4.3646364524147725e-10
2025-02-24,4.352181729403409e-10
2025-02-25,4.296181640625e-10
2025-02-26,4.351454634232955e-10
2025-02-27,4.427772549715909e-10
2025-02-28,4.390318270596591e-10
2025-03-03,4.4245980398995535e-10
2025-03-04,4.41875e-10
2025-03-05,4.548616245814732e-10
